Code plate-forme;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
01583-1;0087484139;;Le Vieux Briollay;49125;048;Briollay;49;Maine-et-Loire;-0.4829396;47.5739696;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""VXB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Vieux Briollay"", ""Alias_Libelle_Fronton"": ""Le Vieux Briollay"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LE VIEUX BRIOLLAY GARE""}";Le Vieux Briollay;Le Vieux Briollay;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LE VIEUX BRIOLLAY GARE;1;VXB;47.5739696,-0.4829396
01595-1;0087481754;;La Baule-Escoublac;44500;055;Baule-Escoublac;44;Loire-Atlantique;-2.389102;47.288690;a;2;GARE LA BAULE ESCOUBLAC;"[{""TVS_Code"": ""LBE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Baule-Escoublac"", ""Alias_Libelle_Fronton"": ""La Baule-Escoublac"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LA BAULE ESCOUBLAC GARE""}";La Baule-Escoublac;La Baule-Escoublac;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LA BAULE ESCOUBLAC GARE;1;LBE;47.28869,-2.389102
01598-1;0087481713;;Montoir-de-Bretagne;44550;103;Montoir-de-Bretagne;44;Loire-Atlantique;-2.1616777;47.3210164;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""MDB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montoir-de-Bretagne"", ""Alias_Libelle_Fronton"": ""Montoir-de-Bretagne"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""MONTOIR DE BRETAGNE GARE""}";Montoir-de-Bretagne;Montoir-de-Bretagne;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;MONTOIR DE BRETAGNE GARE;1;MDB;47.3210164,-2.1616777
01603-1;0087481622;;Issé;44520;075;Issé;44;Loire-Atlantique;-1.45068;47.6268289;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""ISE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Issé"", ""Alias_Libelle_Fronton"": ""Issé"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""ISSE GARE""}";Issé;Issé;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;ISSE GARE;1;ISE;47.6268289,-1.45068
01616-1;0087481366;;Machecoul;44270;087;Machecoul-Saint-Même;44;Loire-Atlantique;-1.8227524;46.9905038;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""MCC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Machecoul"", ""Alias_Libelle_Fronton"": ""Machecoul"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""MACHECOUL GARE""}";Machecoul;Machecoul;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;MACHECOUL GARE;1;MCC;46.9905038,-1.8227524
01617-1;0087481283;;Pornic;44210;131;Pornic;44;Loire-Atlantique;-2.0975565;47.1145616;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""PNC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Pornic"", ""Alias_Libelle_Fronton"": ""Pornic"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""PORNIC GARE""}";Pornic;Pornic;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;PORNIC GARE;1;PNC;47.1145616,-2.0975565
01635-1;0087478768;;Saint-Pierre-la-Cour;53410;247;Saint-Pierre-la-Cour;53;Mayenne;-1.0252972;48.1135968;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""SPW""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Pierre-la-Cour"", ""Alias_Libelle_Fronton"": ""Saint-Pierre-la-Cour"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""SAINT PIERRE LA COUR GARE""}";Saint-Pierre-la-Cour;Saint-Pierre-la-Cour;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;SAINT PIERRE LA COUR GARE;1;SPW;48.1135968,-1.0252972
01637-1;0087478743;;Le Genest-Saint-Isle;53940;103;Genest-Saint-Isle;53;Mayenne;-0.8858084;48.0967372;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""GST""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Genest-Saint-Isle"", ""Alias_Libelle_Fronton"": ""Le Genest"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LE GENEST GARE""}";Le Genest-Saint-Isle;Le Genest;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LE GENEST GARE;1;GST;48.0967372,-0.8858084
01641-1;0087478537;;Montsûrs;53150;161;Montsûrs-Saint-Céneré;53;Mayenne;-0.5506416;48.14149;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""MSW""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montsûrs"", ""Alias_Libelle_Fronton"": ""Montsûrs"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""MONTSURS GARE""}";Montsûrs;Montsûrs;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;MONTSURS GARE;1;MSW;48.14149,-0.5506416
01661-1;0087476770;;Drefféac;44530;053;Drefféac;44;Loire-Atlantique;-2.0503661;47.4817568;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""DRF""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Drefféac"", ""Alias_Libelle_Fronton"": ""Drefféac"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""DREFFEAC P GARE""}";Drefféac;Drefféac;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;DREFFEAC P GARE;1;DRF;47.4817568,-2.0503661
