Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0441306F;Ecole primaire privée Saint Joseph;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;Privé;2 rue du Bois;;;44390;PUCEUL;Puceul;352850.6;6723721.3;EPSG:2154;47.52251544617352;-1.6158205533101062;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44138;Loire-Atlantique;Pays de la Loire;Nantes;47.5225154462,-1.61582055331;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-16
0441307G;Ecole primaire privée Notre-Dame du Sacré-Coeur;ECOLE PRIMAIRE PRIVEE;N-D.DU SACRE-COEUR;Privé;2 rue de la Ramée;;;44260;PRINQUIAU;Prinquiau;321956.5;6707740.8;EPSG:2154;47.3619842570091;-2.0120699851002;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44137;Loire-Atlantique;Pays de la Loire;Nantes;47.361984257,-2.0120699851;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-16
0441346Z;Ecole primaire privée Saint Yves;ECOLE PRIMAIRE PRIVEE;ST YVES;Privé;Rue Saint-Yves;ST JEAN DE CORCOUE;;44650;CORCOUE SUR LOGNE;Corcoué-sur-Logne;351508.5;6661476.2;EPSG:2154;46.96239676671709;-1.5856163034844466;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44156;Loire-Atlantique;Pays de la Loire;Nantes;46.9623967667,-1.58561630348;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-16
0441354H;Ecole primaire privée Saint Joseph;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;Privé;4 rue de Versailles;SAINT-HERBLON;;44150;VAIR SUR LOIRE;Vair-sur-Loire;391372.3;6708797.2;EPSG:2154;47.40749170458093;-1.094319600864062;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44163;Loire-Atlantique;Pays de la Loire;Nantes;47.4074917046,-1.09431960086;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-16
0441366W;Ecole primaire privée Sainte Thérèse;ECOLE PRIMAIRE PRIVEE;STE THERESE;Privé;14 place de l'Eglise;;;44119;TREILLIERES;Treillières;350680.7;6702503.7;EPSG:2154;47.33070114928279;-1.6280900246611691;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44209;Loire-Atlantique;Pays de la Loire;Nantes;47.3307011493,-1.62809002466;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-17
0441381M;Ecole primaire privée Saint Etienne;ECOLE PRIMAIRE PRIVEE;ST ETIENNE;Privé;202 rue Descartes;;;44240;SUCE SUR ERDRE;Sucé-sur-Erdre;358406.8;6703407.5;EPSG:2154;47.3428533405406;-1.5266401435830945;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44201;Loire-Atlantique;Pays de la Loire;Nantes;47.3428533405,-1.52664014358;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-17
0441411V;Ecole primaire privée Sainte Anne;ECOLE PRIMAIRE PRIVEE;STE ANNE;Privé;16 rue de Tabago;;;44460;ST NICOLAS DE REDON;Saint-Nicolas-de-Redon;319682.0;6739445.1;EPSG:2154;47.6454854548393;-2.069089955025533;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44185;Loire-Atlantique;Pays de la Loire;Nantes;47.6454854548,-2.06908995503;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-16
0441428N;Ecole primaire privée Saint Jacques de Compostelle;ECOLE PRIMAIRE PRIVEE;ST JACQUES DE COMPOSTELLE;Privé;16 rue du Frère Louis;;;44200;NANTES;Nantes;356527.3;6687082.3;EPSG:2154;47.195156882398514;-1.539069601263059;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.1951568824,-1.53906960126;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441454S;Ecole maternelle privée Saint Martin;ECOLE MATERNELLE PRIVEE;ST MARTIN;Privé;2 place des 10 Otages;;;44120;VERTOU;Vertou;361416.3;6683738.5;EPSG:2154;47.16761235453894;-1.4720994953883644;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44215;Loire-Atlantique;Pays de la Loire;Nantes;47.1676123545,-1.47209949539;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-17
0441527W;Ecole primaire Louis Davy;ECOLE PRIMAIRE PUBLIQUE;LOUIS DAVY;Public;18 rue des Ecoles;;;44170;ABBARETZ;Abbaretz;359318.2;6726600.6;EPSG:2154;47.551760271930654;-1.5322104944708659;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44001;Loire-Atlantique;Pays de la Loire;Nantes;47.5517602719,-1.53221049447;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1971-06-17
